NUM_BO,ANO_BO,ID_DELEGACIA,NOME_DEPARTAMENTO,NOME_SECCIONAL,DELEGACIA,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,NOME_DELEGACIA_CIRC,ANO,MES,FLAG_STATUS,RUBRICA,DESDOBRAMENTO,CONDUTA,LATITUDE,LONGITUDE,CIDADE,LOGRADOURO,NUMERO_LOGRADOURO,FLAG_STATUS,
790674,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.TABOODASERRA,01D.P.TABOODASERRA,2016,6,C,Roubo(art.157),NULL,TRANSEUNTE,-23.60808227,-46.76046519,TABOAODASERRA,ACESSORODOVIARGISBITENCOURT,2378,C,
776004,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.4NORTE,13D.P.CASAVERDE,2016,6,C,Roubo(art.157),NULL,TRANSEUNTE,-23.51323102,-46.6573382,S.PAULO,RUABERNARDINOFANGANIELLO,220,C,
482494,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.MOGIDASCRUZES,DEL.POL.ITAQUAQUECETUBA,2016,4,C,Roubo(art.157),NULL,VEICULO,-23.49600549,-46.35802208,ITAQUAQUECETUBA,RUAASSISCHATEAUBRIAND,43,C,
543752,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.2SUL,17D.P.DOUTORALDOGALIANO,2016,4,C,Furto(art.155),NULL,INTERIORTRANSPORTECOLETIVO,-23.59426353,-46.5899134,S.PAULO,AVENIDAPRESIDENTEWILSON,4801,C,
4587,2016,10103,DECAP,DEL.SEC.1CENTRO,03D.P.CAMPOSELISEOS,DECAP,DEL.SEC.1CENTRO,01D.P.SE,2016,9,C,Roubo(art.157),NULL,TRANSEUNTE,-23.54522255,-46.63369164,S.PAULO,LADEIRAPORTOGERAL,0,C,
6100,2016,10102,DECAP,DEL.SEC.1CENTRO,02D.P.BOMRETIRO,DECAP,DEL.SEC.1CENTRO,03D.P.CAMPOSELISEOS,2016,9,C,Roubo(art.157),NULL,TRANSEUNTE,-23.53923446,-46.64056512,S.PAULO,AVENIDARIOBRANCO,777,C,
2853,2016,10101,DECAP,DEL.SEC.1CENTRO,01D.P.SE,DECAP,DEL.SEC.1CENTRO,01D.P.SE,2016,5,C,Drogassemautorizaoouemdesacordo(Art.33caput),NULL,NULL,-23.54935965,-46.63872579,S.PAULO,PARQUEANHANGABAU,1,C,
6125,2016,10112,DECAP,DEL.SEC.1CENTRO,12D.P.PARI,DECAP,DEL.SEC.1CENTRO,12D.P.PARI,2016,12,C,Furto(art.155),NULL,TRANSEUNTE,-23.5328787,-46.62171549,S.PAULO,AVENIDAVAUTHIER,248,C,
2942,2016,10247,DECAP,DEL.SEC.6SANTOAMARO,47D.P.CAPAOREDONDO,DECAP,DEL.SEC.6SANTOAMARO,47D.P.CAPAOREDONDO,2016,3,C,Furtoqualificado(art.155_4o.),NULL,INTERIORDEVEICULO,-23.67310714,-46.79447459,S.PAULO,RUAMOACIRTAVARESDEPAIVA,398,C,
13758,2016,10216,DECAP,DEL.SEC.2SUL,16D.P.VILACLEMENTINO,DECAP,DEL.SEC.2SUL,16D.P.VILACLEMENTINO,2016,12,C,Furto(art.155),NULL,INTERIORDEVEICULO,-23.60574383,-46.63710253,S.PAULO,AVENIDAJABAQUARA,538,C,
1453536,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.3OESTE,91D.P.CEASA,2016,11,C,Roubo(art.157),NULL,TRANSEUNTE,-23.52042777,-46.74609038,S.PAULO,RUAENG.MESQUITASAMPAIO,530,C,
1550782,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.1CENTRO,78D.P.JARDINS,2016,12,C,Furto(art.155),NULL,TRANSEUNTE,-23.55965007,-46.65834086,S.PAULO,AVENIDAPAULISTA,1904,C,
1477471,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.TABOODASERRA,01D.P.EMBUDASARTES,2016,11,C,Roubo(art.157),NULL,TRANSEUNTE,-23.64485351,-46.80748742,EMBUDASARTES,RUADOSNARCISOS,100,C,
668576,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.CARAPICUIBA,DEL.POL.ITAPEVI,2016,5,C,Roubo(art.157),NULL,TRANSEUNTE,-23.53061008,-46.92682213,ITAPEVI,RUAPauloJosFernandes,244,C,
545856,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.7ITAQUERA,32D.P.ITAQUERA,2016,4,C,Roubo(art.157),NULL,TRANSEUNTE,-23.52163858,-46.44077473,S.PAULO,RUAPADREANTAOJORGE,200,C,
672664,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.GUARULHOS,DEL.POL.ARUJA,2016,5,C,Roubo(art.157),NULL,TRANSEUNTE,-23.39615854,-46.31819185,ARUJA,RUAMARANHO,267,C,
1374732,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.2SUL,27D.P.IBIRAPUERA,2016,10,C,Furto(art.155),NULL,TRANSEUNTE,-23.60379468,-46.65780652,S.PAULO,ALAMEDADOSMARACATINS,0,C,
1487791,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.GUARULHOS,01D.P.GUARULHOS,2016,11,C,Roubo(art.157),NULL,VEICULO,-23.46013847,-46.54551837,GUARULHOS,ALAMEDAYAY,297,C,
954684,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.1CENTRO,02D.P.BOMRETIRO,2016,7,C,Roubo(art.157),NULL,TRANSEUNTE,-23.52204191,-46.64524656,S.PAULO,RUAJAVAES,0,C,
1081,2016,30429,DEMACRO,DEL.SEC.OSASCO,07D.P.OSASCO,DECAP,DEL.SEC.3OESTE,46D.P.PERUS,2016,11,C,Roubo(art.157),NULL,CARGA,-23.49174263,-46.75616904,S.PAULO,ESTRADATURISTICADOJARAGUA,50,C,
3807,2016,30440,DEMACRO,DEL.SEC.OSASCO,10D.P.OSASCO,DEMACRO,DEL.SEC.GUARULHOS,08D.P.GUARULHOS,2016,8,C,Roubo(art.157),NULL,VEICULO,-23.46311305,-46.48319494,GUARULHOS,AVENIDASERRABRANCA,377,C,
1975,2016,30614,DEMACRO,DEL.SEC.TABOODASERRA,01D.P.TABOODASERRA,DEMACRO,DEL.SEC.TABOODASERRA,02D.P.TABOODASERRA,2016,4,C,Furto(art.155),NULL,VEICULO,-23.62555247,-46.80752337,TABOAODASERRA,RUAGONALVESDIAS,413,C,
1041,2016,10101,DECAP,DEL.SEC.1CENTRO,01D.P.SE,DECAP,DEL.SEC.1CENTRO,01D.P.SE,2016,2,C,Roubo(art.157),NULL,ESTABELECIMENTOCOMERCIAL,-23.55375842,-46.63521276,S.PAULO,AVENIDADALIBERDADE,94,C,
4758,2016,10101,DECAP,DEL.SEC.1CENTRO,01D.P.SE,DECAP,DEL.SEC.1CENTRO,03D.P.CAMPOSELISEOS,2016,8,C,Roubo(art.157),NULL,TRANSEUNTE,-23.53905695,-46.6355684,S.PAULO,AVENIDASENADORQUEIROS,58,C,
2141,2016,10104,DECAP,DEL.SEC.1CENTRO,04D.P.CONSOLAO,DECAP,DEL.SEC.1CENTRO,03D.P.CAMPOSELISEOS,2016,5,C,Furto(art.155),NULL,VEICULO,-23.54939106,-46.64188577,S.PAULO,AVENIDANOVEDEJULHO,337,C,
1349,2016,10211,DECAP,DEL.SEC.6SANTOAMARO,11D.P.SANTOAMARO,DECAP,DEL.SEC.6SANTOAMARO,11D.P.SANTOAMARO,2016,2,C,Roubo(art.157),NULL,TRANSEUNTE,-23.64909082,-46.70970249,S.PAULO,RUABARAODORIOBRANCO,382,C,
5782,2016,10241,DECAP,DEL.SEC.3OESTE,37D.P.CAMPOLIMPO,DECAP,DEL.SEC.3OESTE,37D.P.CAMPOLIMPO,2016,11,C,Furtoqualificado(art.155_4o.),NULL,ESTABELECIMENTO-OUTROS,-23.63190636,-46.75080412,S.PAULO,RUAANDREAAPPIANI,172,C,
3094,2016,10307,DECAP,DEL.SEC.3OESTE,07D.P.LAPA,DECAP,DEL.SEC.3OESTE,07D.P.LAPA,2016,7,C,Furtoqualificado(art.155_4o.),NULL,ESTABELECIMENTOBANCARIO,-23.52518438,-46.71017294,S.PAULO,RUABARAODEJUNDIAI,916,C,
478078,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.1CENTRO,78D.P.JARDINS,2016,4,C,Furto(art.155),NULL,INTERIORTRANSPORTECOLETIVO,-23.57374626,-46.65534735,S.PAULO,AVENIDABRIGADEIROLUISANTONIO,3000,C,
870102,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.8SAOMATEUS,66D.P.JDIMARICANDUVA,2016,7,C,Roubo(art.157),NULL,TRANSEUNTE,-23.5570643,-46.48442407,S.PAULO,estradavelhadeitaquera,23,C,
756564,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.8SAOMATEUS,49D.P.SAOMATEUS,2016,6,C,Furto(art.155),NULL,TRANSEUNTE,-23.60708268,-46.47305746,S.PAULO,AVENIDAJOSERODRIGUESSANTAREM,1112,C,
1143221,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DEMACRO,DEL.SEC.S.BERNARDODOCAMPO,05D.P.S.BERNARDODOCAMPO,2016,9,C,Furto(art.155),NULL,INTERIORTRANSPORTECOLETIVO,-23.66629658,-46.57366751,S.BERNARDODOCAMPO,AvenidaSenadorVergueiro,4419,C,
1124692,2016,900020,DIPOL-DEPTODEINTELIGENCIA,DELEGACIAELETRONICA,DELEGACIAELETRONICA,DECAP,DEL.SEC.5LESTE,10D.P.PENHADEFRANCA,2016,9,C,Furto(art.155),NULL,VEICULO,-23.51648094,-46.5357608,S.PAULO,RUACORONELMEIRELES,760,C,
36,2017,30429,DEMACRO,DEL.SEC.OSASCO,07D.P.OSASCO,DEMACRO,DEL.SEC.OSASCO,07D.P.OSASCO,2016,9,C,Furto(art.155),NULL,VEICULO,NULL,NULL,OSASCO,VIELAGERALDOBEZERRA,1,C,
